type	price	quantity
ask	74688.48	0.003
ask	74688.96	0.00307
ask	74689.03	7e-05
ask	74689.04	7e-05
ask	74689.28	7e-05
ask	74689.33	0.00014
ask	74690.03	0.00016
ask	74690.16	9e-05
ask	74690.39	0.00028
ask	74690.43	7e-05
ask	74690.46	7e-05
ask	74690.47	7e-05
ask	74690.61	0.33469
ask	74690.62	0.20707
ask	74690.69	7e-05
ask	74690.7	7e-05
ask	74690.71	7e-05
ask	74690.94	7e-05
ask	74691.03	0.12
ask	74691.17	7e-05
ask	74691.18	0.01338
ask	74691.75	8e-05
ask	74692.17	0.01338
ask	74692.31	0.04016
ask	74692.33	0.01601
ask	74692.55	0.00014
ask	74692.76	0.00174
ask	74693.3	0.06995
ask	74693.34	0.003
ask	74693.37	0.00287
ask	74694.0	7e-05
ask	74694.17	0.20031
ask	74694.18	0.12049
ask	74694.35	7e-05
ask	74694.41	0.00862
ask	74695.13	0.00048
ask	74695.14	0.0507
ask	74695.18	0.06266
ask	74695.22	8e-05
ask	74695.26	0.0019
ask	74696.01	0.00011
ask	74696.04	0.20262
ask	74696.05	0.12068
ask	74696.29	0.00014
ask	74696.42	0.17053
ask	74696.43	0.003
ask	74696.98	0.01583
ask	74697.16	0.02
ask	74697.47	0.00892
ask	74697.54	7e-05
ask	74697.6	9e-05
ask	74697.95	0.21958
ask	74697.96	0.064
ask	74698.09	0.207
ask	74698.2	0.003
ask	74698.27	0.00014
ask	74698.31	0.05
ask	74698.61	0.00094
ask	74698.62	0.00028
ask	74698.75	0.32785
ask	74698.86	8e-05
ask	74699.08	0.058
ask	74699.83	0.009
ask	74700.0	7e-05
ask	74700.12	0.05
ask	74700.13	1.04247
ask	74700.33	0.00321
ask	74701.08	7e-05
ask	74702.0	0.00014
ask	74702.16	0.034
ask	74702.32	0.068
ask	74702.64	2.67856
ask	74702.67	1.61351
ask	74702.7	0.52967
ask	74702.75	0.05
ask	74702.87	0.068
ask	74702.92	0.054
ask	74703.06	0.003
ask	74703.1	0.05
ask	74703.22	0.34516
ask	74703.23	0.52895
ask	74703.57	0.00868
ask	74703.61	0.00011
ask	74703.68	0.002
ask	74704.23	0.00014
ask	74704.45	0.01614
ask	74704.59	0.0002
ask	74704.62	7e-05
ask	74705.03	0.00287
ask	74705.04	9e-05
ask	74705.24	0.05
ask	74705.25	0.44727
ask	74705.31	0.066
ask	74705.45	0.05012
ask	74705.64	0.042
ask	74705.72	0.00321
ask	74705.98	0.03006
ask	74706.0	0.0044
ask	74706.03	0.054
ask	74706.22	8e-05
ask	74706.37	0.052
ask	74706.48	8e-05
ask	74706.78	0.042
ask	74707.31	0.0086
ask	74707.37	0.05
ask	74707.39	0.00014
ask	74707.75	7e-05
ask	74707.81	0.71834
ask	74707.92	0.003
ask	74708.0	0.0008
ask	74708.16	7e-05
ask	74708.23	0.00191
ask	74708.42	0.002
ask	74708.6	0.0021
ask	74708.62	0.00028
ask	74708.91	0.00382
ask	74709.08	0.40412
ask	74709.29	0.00133
ask	74709.51	1.60682
ask	74709.55	0.00015
ask	74709.96	0.00013
ask	74709.99	0.04016
ask	74710.0	0.0008
ask	74710.72	0.03815
ask	74710.87	0.4816
ask	74710.98	0.03823
ask	74710.99	0.0998
ask	74711.04	1.36218
ask	74711.05	2.67856
ask	74711.21	0.00011
ask	74711.57	0.05012
ask	74711.7	7e-05
ask	74711.79	0.00014
ask	74711.92	0.01618
ask	74712.0	0.0008
ask	74712.48	9e-05
ask	74712.57	8e-05
ask	74712.73	0.207
ask	74712.78	0.6887
ask	74712.8	0.004
ask	74713.61	1.60682
ask	74713.69	0.00035
ask	74714.0	0.0012
ask	74714.1	8e-05
ask	74714.95	0.004
ask	74715.24	7e-05
ask	74716.0	0.0012
ask	74716.04	8e-05
ask	74716.18	0.00028
ask	74716.22	0.00014
ask	74716.6	0.48156
ask	74716.73	0.00287
ask	74716.83	0.03003
ask	74717.01	0.08
ask	74717.2	0.05012
ask	74717.38	1.28008
ask	74717.39	4.28538
ask	74717.64	0.003
ask	74718.0	0.0012
ask	74718.64	0.01418
ask	74718.65	0.0159
ask	74718.78	7e-05
ask	74718.81	0.00011
ask	74718.89	0.00014
ask	74719.5	0.0024
ask	74719.51	8e-05
ask	74719.92	9e-05
ask	74720.0	0.0012
ask	74720.08	0.02652
ask	74720.58	0.00098
ask	74721.72	8e-05
ask	74721.82	1.63691
ask	74721.83	1.60682
ask	74722.0	0.0012
ask	74722.28	0.062
ask	74722.46	0.066
ask	74722.5	0.003
ask	74722.92	0.00014
ask	74722.98	8e-05
ask	74722.99	0.068
ask	74723.02	0.00661
ask	74723.05	0.054
ask	74723.18	0.056
ask	74723.2	0.04014
