# ========== DAILY VOLUME PROFILE SNAPSHOTS (Last 7 Days) ==========
date	poc	vah	val	total_volume
2026-03-30	2080.7	2087.8	2013.6	210202.47
2026-03-31	2130.7	2154.9	2086.0	206196.18
2026-04-01	2046.8	2159.7	2032.2	284531.91
2026-04-02	2059.1	2071.7	2044.2	102426.31
2026-04-03	2058.8	2058.8	2048.8	44741.80
2026-04-04	2079.2	2079.2	2028.2	65513.36
2026-04-05	2110.0	2168.0	2053.5	235149.69

# ========== UNTESTED POC LEVELS (Last 7 days not touched) ==========
date	poc	vah	val
2026-04-07	2169.9	2270.4	2098.2
2026-04-08	2170.4	2218.2	2165.6
2026-04-09	2221.3	2237.6	2178.3
2026-04-10	2232.4	2255.6	2231.2
2026-04-11	2257.1	2325.7	2195.2
2026-04-12	2194.4	2216.9	2180.2
2026-04-13	2369.2	2393.2	2238.3
