# ========== CVD SUMMARY ==========
timestamp	cumulative_cvd	cvd_delta	cvd_velocity	total_buy_vol	total_sell_vol	trade_count
1776198151090	9358.535999999931	2460.647999999949	-0.15	21555.206999996797	19094.558999999183	50000

# ========== POINT OF CONTROL (PoC) ==========
poc_price	poc_volume
616.7	1557.2870000000005

# ========== FOOTPRINT (price-level buy/sell, top 50, min_vol=5) ==========
price	buy_vol	sell_vol
616.7	1126.4280000000006	430.85899999999987
616.0	1099.347999999999	453.22399999999953
614.5	1182.8840000000027	195.94999999999982
620.0	941.2369999999997	310.71299999999985
616.3	842.8580000000002	303.15699999999964
618.5	763.896	217.66199999999998
621.0	831.005	96.24100000000004
619.7	814.6049999999997	88.933
616.9	359.48300000000006	469.45300000000003
617.0	290.5419999999997	534.9840000000003
618.3	635.3570000000002	103.69
616.8	257.9939999999997	478.60199999999975
619.0	383.21600000000007	254.8479999999999
616.6	243.48499999999967	391.10599999999897
618.9	181.47999999999996	449.2389999999989
623.5	504.5180000000001	96.6260000000001
624.3	282.6359999999998	294.1299999999999
616.5	316.09199999999987	249.1529999999998
618.7	214.58799999999985	347.91399999999976
618.6	212.36499999999998	305.30600000000004
614.0	299.04099999999966	216.3269999999998
617.1	209.30999999999946	300.3449999999996
624.0	169.44699999999986	328.94700000000006
613.8	187.05699999999962	300.1379999999992
613.9	321.23499999999933	151.09999999999965
614.6	159.6739999999998	306.005999999999
619.9	318.1720000000002	139.33499999999995
613.6	234.51299999999966	219.81300000000005
616.2	173.15400000000017	268.6829999999997
624.2	214.58	225.47199999999967
622.6	115.90200000000003	319.6689999999998
616.4	191.7349999999999	223.9339999999997
614.7	230.37999999999946	180.40899999999982
624.4	195.395	213.87600000000012
613.7	239.19199999999975	160.41300000000007
624.1	289.7389999999997	98.91400000000021
622.3	116.70500000000008	268.88299999999913
614.4	133.44700000000012	246.22699999999992
616.1	197.69899999999961	178.33499999999975
614.2	172.92599999999987	195.9109999999997
617.3	193.92099999999976	174.61199999999982
623.8	198.27800000000013	169.6759999999999
618.8	156.04700000000008	207.56100000000006
624.5	181.00000000000009	181.64999999999998
615.9	160.37599999999986	187.34499999999974
618.2	122.41200000000016	213.60499999999982
623.6	134.8910000000001	186.97100000000003
619.8	181.377	134.85500000000002
617.4	142.6380000000001	160.23799999999946
623.0	161.62300000000008	138.94599999999977

# ========== IMBALANCE EVENTS (ratio>=3, volume>avg_trade*10, diff>avg_trade*5) ==========
timestamp	price	ratio	type	volume	diff
1776195544656	613.5	3.57	sell	278.19	156.52
1776195546158	613.4	6.86	sell	289.99	216.21
1776195567805	613.5	3.57	sell	278.19	156.52
1776195792102	613.4	6.86	sell	289.99	216.21
1776195871898	613.5	3.57	sell	278.19	156.52
1776196407117	614.5	6.04	buy	1378.83	986.93
1776196512992	613.5	3.57	sell	278.19	156.52
1776196512992	613.4	6.86	sell	289.99	216.21
1776196513004	613.5	3.57	sell	278.19	156.52
1776196969657	614.5	6.04	buy	1378.83	986.93

# ========== ABSORPTION EVENTS (CVD delta > 2*std of last 10 CVD values) ==========
timestamp	price	cvd_delta	price_delta	type
1776197918797	614.5	-105.72	0.0	bearish
1776198013867	614.6	-104.24	0.1	bearish
1776198023479	614.5	-104.28	0.0	bearish
1776198023738	614.6	-104.54	0.1	bearish
1776198035138	614.5	-125.59	0.0	bearish
1776198035730	614.6	-126.03	0.0	bearish
1776198037294	614.5	-126.47	0.0	bearish
1776198097843	614.4	-102.69	0.0	bearish
1776198109557	614.3	-20.75	0.0	bearish
1776198120570	614.2	-8.66	0.0	bearish
