# ========== DAILY VOLUME PROFILE SNAPSHOTS (Last 7 Days) ==========
date	poc	vah	val	total_volume
2026-03-30	1.2	1.2	1.2	3860158.54
2026-03-31	1.3	1.3	1.3	3997996.80
2026-04-01	1.2	1.2	1.2	3712818.16
2026-04-02	1.2	1.2	1.2	1971527.42
2026-04-03	1.2	1.2	1.2	1435558.22
2026-04-04	1.2	1.2	1.2	1910732.16
2026-04-05	1.3	1.3	1.3	3577682.15

# ========== UNTESTED POC LEVELS (Last 7 days not touched) ==========
date	poc	vah	val
NO_UNTESTED_POC	0	0	0
