type	price	quantity
ask	2345.1	0.0663
ask	2345.11	0.0068
ask	2345.12	0.6258
ask	2345.14	0.0022
ask	2345.16	0.0452
ask	2345.17	0.06
ask	2345.18	0.1113
ask	2345.19	0.3686
ask	2345.2	0.0322
ask	2345.23	0.0046
ask	2345.24	5.8847
ask	2345.25	8.4268
ask	2345.26	11.2539
ask	2345.28	0.0048
ask	2345.3	0.0322
ask	2345.31	0.003
ask	2345.32	0.0032
ask	2345.33	0.0214
ask	2345.34	2.1675
ask	2345.36	7.836
ask	2345.37	24.2802
ask	2345.38	11.249
ask	2345.39	5.9636
ask	2345.4	1.859
ask	2345.41	0.1067
ask	2345.42	0.2862
ask	2345.44	0.0242
ask	2345.45	0.0086
ask	2345.47	0.0023
ask	2345.49	0.213
ask	2345.5	0.0411
ask	2345.51	6.2379
ask	2345.52	16.3374
ask	2345.53	0.003
ask	2345.54	6.4086
ask	2345.55	0.0032
ask	2345.56	0.0022
ask	2345.57	0.0257
ask	2345.59	1.2786
ask	2345.6	0.0322
ask	2345.62	49.891
ask	2345.63	0.0053
ask	2345.64	0.0056
ask	2345.65	0.1492
ask	2345.66	0.0022
ask	2345.67	0.0085
ask	2345.68	0.0065
ask	2345.69	2.093
ask	2345.7	5.998
ask	2345.71	0.6389
ask	2345.72	0.0024
ask	2345.74	0.0069
ask	2345.75	0.003
ask	2345.76	0.2726
ask	2345.77	8.8486
ask	2345.78	29.4725
ask	2345.79	5.9936
ask	2345.8	0.0536
ask	2345.82	19.6089
ask	2345.83	12.3531
ask	2345.84	0.5422
ask	2345.85	0.27
ask	2345.86	6.0061
ask	2345.87	0.27
ask	2345.88	7.968
ask	2345.89	0.0069
ask	2345.9	0.3022
ask	2345.92	0.54
ask	2345.93	0.1
ask	2345.96	0.0043
ask	2345.97	17.9333
ask	2345.98	0.4214
ask	2345.99	0.27
ask	2346.0	1.0272
ask	2346.01	12.3195
ask	2346.03	0.0789
ask	2346.04	0.0214
ask	2346.05	0.0043
ask	2346.06	19.3861
ask	2346.07	19.6146
ask	2346.08	0.003
ask	2346.1	0.03
ask	2346.11	0.0022
ask	2346.12	15.0645
ask	2346.14	0.2273
ask	2346.15	0.0046
ask	2346.19	0.0062
ask	2346.2	11.9571
ask	2346.21	5.9679
ask	2346.22	5.9662
ask	2346.23	12.3531
ask	2346.24	19.6104
ask	2346.25	6.0753
ask	2346.27	0.0257
ask	2346.29	0.3
ask	2346.3	1.1022
ask	2346.32	0.0537
ask	2346.35	12.0337
ask	2346.36	18.2791
ask	2346.38	1.4164
ask	2346.39	0.0108
ask	2346.4	5.9636
ask	2346.41	0.003
ask	2346.42	0.3242
ask	2346.43	0.0898
ask	2346.44	1.4
ask	2346.45	31.9577
ask	2346.46	2.0718
ask	2346.47	0.2732
ask	2346.48	0.0089
ask	2346.5	0.03
ask	2346.51	8.969
ask	2346.52	8.1603
ask	2346.53	14.4302
ask	2346.54	0.0043
ask	2346.55	5.9636
ask	2346.59	0.1066
ask	2346.6	0.243
ask	2346.61	16.5814
ask	2346.62	21.3824
ask	2346.63	0.003
ask	2346.64	12.3574
ask	2346.65	0.0086
ask	2346.67	0.0022
ask	2346.69	11.9271
ask	2346.7	0.0332
ask	2346.71	0.0026
ask	2346.72	16.9783
ask	2346.73	5.9636
ask	2346.74	0.1076
ask	2346.77	0.0108
ask	2346.78	0.54
ask	2346.79	19.6046
ask	2346.8	13.1631
ask	2346.81	0.0022
ask	2346.82	0.1066
ask	2346.84	0.0073
ask	2346.85	0.003
ask	2346.87	0.54
ask	2346.88	14.2098
ask	2346.89	0.27
ask	2346.9	5.9636
ask	2346.91	5.9636
ask	2346.92	11.9314
ask	2346.93	0.0032
ask	2346.94	0.0022
ask	2346.95	0.0026
ask	2346.96	32.2833
ask	2346.97	13.9362
ask	2346.98	0.0214
ask	2346.99	0.0043
ask	2347.0	4.763
ask	2347.01	0.1065
ask	2347.02	0.27
ask	2347.05	0.8315
ask	2347.06	13.1117
ask	2347.07	17.8483
ask	2347.08	12.5875
ask	2347.09	2.7
ask	2347.12	0.8734
ask	2347.13	31.9577
ask	2347.15	0.0086
ask	2347.16	0.2334
ask	2347.18	0.003
