meta	1776718539441	670.6	670.6	670.6	670.6	0.0
meta	1776866746600	674.01	674.04	673.92	673.92	0.0
meta	1776885355486	675.13	675.23	675.13	675.2	0.0
meta	1776972889693	660.32	660.32	660.21	660.21	0.0
meta	1777315498947	679.59	679.59	679.55	679.55	0.0
meta	1777315547715	679.45	679.45	679.34	679.4	0.0
meta	1777315619081	679.49	679.68	679.48	679.6	0.0
meta	1777318079170	678.18	678.18	678.13	678.17	0.0
meta	1777318135341	678.2	678.21	678.08	678.16	0.0
meta	1777384662273	674.58	675.59	674.58	675.59	0.0
meta	1777388339057	667.86	667.87	667.5	667.57	0.0
meta	1777389116059	666.88	667.37	666.88	667.37	0.0
meta	1777389598004	667.34	667.66	667.34	667.66	0.0
meta	1777390225362	667.15	667.15	667.15	667.15	0.0
meta	1777392040818	668.58	668.76	668.58	668.59	0.0
meta	1777393559621	668.89	668.89	668.79	668.79	0.0
meta	1777395163040	670.01	670.21	670.01	670.21	0.0
meta	1777395234327	670.08	670.55	670.08	670.26	0.0
meta	1777397807357	670.13	670.13	670.1	670.1	0.0
meta	1777398418025	670.59	670.59	670.59	670.59	0.0
meta	1777495739355	629.0	629.0	626.75	627.15	0.0
meta	1777495757366	627.1	628.04	627.0	628.04	0.0
meta	1777495859241	627.0	627.0	625.03	625.03	0.0
meta	1777496747132	624.0	624.0	623.91	623.91	0.0
meta	1777496790245	623.0	623.1	622.07	623.0	0.0
meta	1777496860988	622.97	622.98	622.97	622.98	0.0
meta	1777497278414	626.0	626.5	626.0	626.5	0.0
meta	1777497318827	625.77	625.77	625.77	625.77	0.0
meta	1777498076072	624.3	624.3	623.5	623.5	0.0
meta	1777506293832	622.97	622.97	622.97	622.97	0.0
meta	1777506962539	621.8	621.8	621.8	621.8	0.0
meta	1777545310923	610.0	610.0	610.0	610.0	0.0
meta	1777546705007	609.0	609.06	608.7	608.7	0.0
meta	1777548380587	608.5	608.5	608.5	608.5	0.0
meta	1777548532885	609.3	609.3	609.3	609.3	0.0
meta	1777548633329	609.11	609.11	608.68	608.68	0.0
meta	1777549679732	606.0	606.0	605.7	606.0	0.0
meta	1777549946083	606.58	606.58	606.19	606.19	0.0
meta	1777550029223	607.13	607.13	607.01	607.01	0.0
meta	1777550128567	606.93	606.93	606.93	606.93	0.0
meta	1777550164001	606.73	606.73	606.73	606.73	0.0
meta	1777551200519	606.08	606.2	606.08	606.2	0.0
meta	1777551287630	606.64	606.64	606.15	606.2	0.0
meta	1777551336045	606.3	606.5	606.3	606.5	0.0
meta	1777551378239	606.03	606.12	606.03	606.12	0.0
meta	1777558310455	603.48	603.87	603.15	603.79	0.0
meta	1777558372149	603.47	603.675	603.39	603.54	0.0
meta	1777558433627	603.55	603.8	602.77	602.8	0.0
meta	1777558544862	602.65	603.41	602.65	602.66	0.0
meta	1777560359945	604.6	604.6	602.805	602.805	0.0
meta	1777560414746	603.01	604.19	602.57	602.63	0.0
meta	1777560477316	603.01	603.665	602.83	603.37	0.0
meta	1777560539035	603.38	604.97	602.84	604.28	0.0
meta	1777560599974	603.58	605.0	603.58	604.63	0.0
meta	1777561251338	608.14	608.21	607.16	608.21	0.0
meta	1777561319770	607.8	608.66	607.77	608.05	0.0
meta	1777561377550	608.24	609.17	607.705	608.45	0.0
meta	1777561438768	609.19	609.36	608.09	608.09	0.0
meta	1777561488843	608.91	609.36	608.22	608.54	0.0
meta	1777563091666	606.39	606.65	606.16	606.65	0.0
meta	1777563168914	606.7	606.75	606.7	606.75	0.0
meta	1777563237344	606.04	606.9	606.04	606.9	0.0
meta	1777563267615	606.81	606.88	606.81	606.87	0.0
meta	1777564018649	607.26	607.34	606.11	606.11	0.0
meta	1777564049756	606.45	607.28	606.43	607.28	0.0
meta	1777567499538	606.42	606.69	606.05	606.05	0.0
meta	1777567610503	605.83	606.45	605.62	606.43	0.0
meta	1777567678378	606.49	606.63	606.06	606.59	0.0
meta	1777572953254	617.12	618.28	617.01	617.99	0.0
meta	1777573015280	617.52	618.02	616.57	616.81	0.0
meta	1777573078409	616.985	617.87	616.51	617.17	0.0
meta	1777573136821	617.9	618.36	616.62	617.29	0.0
meta	1777573199032	618.2	618.22	617.29	617.43	0.0
meta	1777573252619	617.47	617.93	615.63	617.93	0.0
meta	1777577698189	619.745	619.745	618.28	618.28	0.0
meta	1777990494159	606.01	606.07	605.25	605.99	0.0
meta	1777990512056	605.86	605.86	605.5	605.5	0.0
meta	1777991208005	604.81	605.155	604.81	605.155	0
meta	1777991268959	605.04	605.07	604.56	604.56	0
meta	1777991315721	604.41	604.66	604.22	604.22	0
meta	1777991382891	604.58	604.58	604.36	604.39	0
amzn	1776718660216	254.7	254.7	254.66	254.7	0.0
amzn	1776719099809	254.66	254.66	254.66	254.66	0.0
amzn	1776866744577	252.93	253.07	252.93	253.07	0.0
amzn	1776972892758	255.62	255.62	255.62	255.62	0.0
amzn	1777315481151	261.6	261.6	261.6	261.6	0.0
amzn	1777318128370	261.21	261.21	261.125	261.13	0.0
amzn	1777384662277	258.92	259.23	258.83	258.89	0.0
amzn	1777388339057	260.38	260.48	260.12	260.22	0.0
amzn	1777389103945	260.03	260.04	260.03	260.04	0.0
amzn	1777389598005	260.24	260.26	260.23	260.26	0.0
amzn	1777390253598	259.55	259.55	259.44	259.45	0.0
amzn	1777390676447	259.84	259.885	259.84	259.885	0.0
amzn	1777392058992	259.9	260.01	259.83	259.89	0.0
amzn	1777393555385	260.085	260.085	260.03	260.065	0.0
amzn	1777395239449	259.43	259.6	259.35	259.6	0.0
amzn	1777396619259	258.305	258.305	258.3	258.3	0.0
amzn	1777397811391	258.31	258.31	258.29	258.29	0.0
amzn	1777399363388	258.87	258.96	258.87	258.87	0.0
amzn	1777495734363	258.28	258.28	258.28	258.28	0.0
amzn	1777495841499	256.65	257.0	256.65	257.0	0.0
amzn	1777496694007	253.55	253.55	253.55	253.55	0.0
amzn	1777496730094	253.45	253.45	253.01	253.01	0.0
amzn	1777496816501	252.8	253.4	252.38	253.0	0.0
amzn	1777496843888	253.0	253.6	253.0	253.57	0.0
amzn	1777497287491	255.01	255.01	254.69	254.69	0.0
amzn	1777497340816	255.01	255.01	254.65	254.65	0.0
amzn	1777497949798	257.16	257.16	257.16	257.16	0.0
amzn	1777498009866	257.43	257.83	257.43	257.83	0.0
amzn	1777498063050	258.0	258.07	257.28	257.91	0.0
amzn	1777498082090	258.2	258.2	258.2	258.2	0.0
amzn	1777500296732	268.25	269.46	268.25	269.46	0.0
amzn	1777501015634	276.39	276.39	276.39	276.39	0.0
amzn	1777501814326	275.18	275.18	275.18	275.18	0.0
amzn	1777503756841	271.7	271.7	271.7	271.7	0.0
amzn	1777503826331	271.12	271.12	271.12	271.12	0.0
amzn	1777503861832	271.0	271.0	270.68	270.68	0.0
amzn	1777548477715	270.95	270.96	270.95	270.96	0.0
amzn	1777550097147	269.8	269.83	269.8	269.83	0.0
amzn	1777551151097	272.44	272.7	272.4	272.7	0.0
amzn	1777551190197	272.465	272.465	272.465	272.465	0.0
amzn	1777551256585	272.41	272.41	272.41	272.41	0.0
amzn	1777551340095	273.065	273.065	273.065	273.065	0.0
amzn	1777551441050	272.63	272.67	272.63	272.67	0.0
amzn	1777551512406	272.68	272.68	272.68	272.68	0.0
amzn	1777558318598	260.36	261.28	260.1	260.1	0.0
amzn	1777558375221	260.12	260.8	259.95	260.02	0.0
amzn	1777558437706	260.07	260.98	260.07	260.98	0.0
amzn	1777558496441	260.6	261.13	260.48	261.13	0.0
amzn	1777558536615	260.92	260.92	260.39	260.39	0.0
amzn	1777560358709	258.71	258.73	258.075	258.6	0.0
amzn	1777560416873	258.31	258.57	258.02	258.45	0.0
amzn	1777560479441	258.6	259.07	258.2	258.91	0.0
amzn	1777560598968	258.96	259.02	257.91	258.8	0.0
amzn	1777561239868	259.56	259.81	259.56	259.81	0.0
amzn	1777561315723	259.84	259.99	259.65	259.65	0.0
amzn	1777561378735	259.95	260.11	259.6	259.74	0.0
amzn	1777561437734	259.77	259.95	259.6	259.68	0.0
amzn	1777561496943	259.82	260.095	259.58	259.9	0.0
amzn	1777563104075	258.47	258.55	258.1	258.55	0.0
amzn	1777563167730	258.34	258.48	258.34	258.48	0.0
amzn	1777563230085	258.09	258.42	258.09	258.42	0.0
amzn	1777563276251	258.04	258.37	258.04	258.37	0.0
amzn	1777563959349	257.3	257.3	257.08	257.08	0.0
amzn	1777564014315	257.09	257.31	257.07	257.08	0.0
amzn	1777564066021	257.03	257.27	257.0	257.27	0.0
amzn	1777567496512	259.39	259.39	259.28	259.28	0.0
amzn	1777567616757	259.17	259.46	259.12	259.46	0.0
amzn	1777567664668	259.74	259.77	259.22	259.22	0.0
amzn	1777572899063	261.98	261.98	261.92	261.93	0.0
amzn	1777572958712	261.89	261.945	261.69	261.93	0.0
amzn	1777573011122	261.915	262.01	261.65	261.7	0.0
amzn	1777573076418	261.72	262.05	261.6	262.05	0.0
amzn	1777573136821	262.03	262.03	261.92	262.02	0.0
amzn	1777573252619	262.0	262.29	261.85	262.29	0.0
amzn	1777577696178	266.11	266.17	265.92	266.07	0.0
amzn	1777577753765	266.06	266.14	266.03	266.14	0.0
amzn	1777895672491	268.25	268.25	268.25	268.25	0.0
amzn	1777990488730	275.64	275.64	275.64	275.64	0.0
amzn	1777990510048	275.59	275.59	275.59	275.59	0.0
amzn	1777991205628	275.56	275.63	275.38	275.63	0
amzn	1777991272206	275.59	275.85	275.28	275.34	0
amzn	1777991329649	275.69	275.83	275.63	275.75	0
amzn	1777991385468	275.77	275.79	275.66	275.72	0
nflx	1776718673037	94.61	94.61	94.61	94.61	0.0
nflx	1776719573646	94.69	94.69	94.69	94.69	0.0
nflx	1776866757967	93.71	93.71	93.64	93.64	0.0
nflx	1776885356664	93.29	93.29	93.29	93.29	0.0
nflx	1776972894709	93.13	93.155	93.1	93.13	0.0
nflx	1777315497415	91.82	91.825	91.82	91.82	0.0
nflx	1777315558970	91.82	91.82	91.79	91.79	0.0
nflx	1777315616849	91.79	91.805	91.79	91.79	0.0
nflx	1777318076035	91.81	91.81	91.755	91.78	0.0
nflx	1777318138495	91.78	91.81	91.74	91.81	0.0
nflx	1777374469992	91.55	91.55	91.55	91.55	0.0
nflx	1777384662280	90.66	90.75	90.63	90.66	0.0
nflx	1777389116059	90.88	90.9	90.88	90.9	0.0
nflx	1777389598004	90.51	90.54	90.49	90.54	0.0
nflx	1777390259743	90.54	90.56	90.51	90.52	0.0
nflx	1777390678478	90.565	90.58	90.55	90.58	0.0
nflx	1777392054097	90.51	90.55	90.5	90.55	0.0
nflx	1777393555385	90.55	90.55	90.55	90.55	0.0
nflx	1777395236328	90.395	90.445	90.38	90.445	0.0
nflx	1777397816403	90.9	90.91	90.9	90.91	0.0
nflx	1777399364378	90.88	90.9	90.88	90.895	0.0
nflx	1777495799539	91.6	91.6	91.6	91.6	0.0
nflx	1777495814514	91.53	91.53	91.51	91.51	0.0
nflx	1777497315897	91.53	91.53	91.53	91.53	0.0
nflx	1777498139229	91.38	91.38	91.38	91.38	0.0
nflx	1777546702000	91.24	91.24	91.24	91.24	0.0
nflx	1777548562921	91.31	91.31	91.31	91.31	0.0
nflx	1777548628228	91.31	91.31	91.31	91.31	0.0
nflx	1777551135074	91.42	91.42	91.42	91.42	0.0
nflx	1777558311496	92.43	92.54	92.37	92.49	0.0
nflx	1777558376186	92.37	92.54	92.37	92.53	0.0
nflx	1777558438725	92.55	92.57	92.39	92.41	0.0
nflx	1777558554239	92.45	92.53	92.44	92.51	0.0
nflx	1777560359945	92.655	92.655	92.58	92.61	0.0
nflx	1777560416873	92.61	92.61	92.57	92.58	0.0
nflx	1777560479442	92.6	92.84	92.55	92.56	0.0
nflx	1777560598968	92.76	93.01	92.76	92.875	0.0
nflx	1777561249401	93.07	93.09	93.055	93.055	0.0
nflx	1777561319770	93.07	93.1	93.005	93.005	0.0
nflx	1777561375464	93.05	93.09	92.99	93.04	0.0
nflx	1777561438768	93.07	93.07	93.02	93.05	0.0
nflx	1777561492916	93.04	93.07	93.02	93.04	0.0
nflx	1777563099872	93.08	93.18	93.02	93.08	0.0
nflx	1777563174973	93.18	93.18	93.01	93.12	0.0
nflx	1777563233289	93.09	93.09	93.08	93.08	0.0
nflx	1777563295695	93.06	93.13	93.03	93.13	0.0
nflx	1777563949002	93.0	93.0	93.0	93.0	0.0
nflx	1777564018649	93.04	93.05	93.0	93.05	0.0
nflx	1777564040579	93.045	93.045	93.02	93.035	0.0
nflx	1777567499538	93.14	93.16	93.12	93.12	0.0
nflx	1777567611513	93.085	93.09	93.08	93.08	0.0
nflx	1777567672365	93.08	93.11	93.07	93.09	0.0
nflx	1777572958712	93.91	93.92	93.89	93.89	0.0
nflx	1777573016338	93.89	94.03	93.88	94.02	0.0
nflx	1777573079442	94.025	94.025	93.905	94.015	0.0
nflx	1777573136821	94.01	94.035	93.97	93.97	0.0
nflx	1777573196764	94.02	94.02	93.98	94.0	0.0
nflx	1777573257754	94.0	94.035	93.99	94.03	0.0
nflx	1777577397286	94.065	94.09	94.065	94.07	0.0
nflx	1777577691050	94.08	94.09	94.075	94.08	0.0
nflx	1777927002436	90.96	90.96	90.96	90.96	0.0
nflx	1777990489461	89.77	89.82	89.74	89.74	0.0
nflx	1777990537623	89.79	89.79	89.79	89.79	0.0
nflx	1777991210283	89.22	89.22	89.11	89.12	0
nflx	1777991237028	89.18	89.18	89.15	89.16	0
nflx	1777991332975	89.15	89.17	89.06	89.16	0
nflx	1777991385473	89.03	89.15	88.99	89.12	0
tsla	1776719566681	392.2	392.2	392.2	392.2	0.0
tsla	1776866755769	391.16	391.16	390.93	390.93	0.0
tsla	1776885359532	388.715	388.715	388.715	388.715	0.0
tsla	1776972898710	373.96	373.96	373.28	373.72	0.0
tsla	1777315496409	378.29	378.36	378.24	378.36	0.0
tsla	1777315556938	378.35	378.38	378.0	378.12	0.0
tsla	1777315613961	378.16	378.4	378.085	378.12	0.0
tsla	1777318079171	379.23	379.28	378.88	379.16	0.0
tsla	1777318139504	379.15	379.45	379.12	379.43	0.0
tsla	1777374469992	374.0	374.0	373.82	373.89	0.0
tsla	1777384662277	376.77	377.39	376.08	377.32	0.0
tsla	1777389598962	376.53	376.81	376.53	376.81	0.0
tsla	1777390251487	374.95	375.0	374.75	375.0	0.0
tsla	1777390678478	374.91	374.99	374.91	374.96	0.0
tsla	1777392056892	375.2	375.59	375.11	375.58	0.0
tsla	1777393557604	375.68	375.68	375.38	375.38	0.0
tsla	1777395234327	376.73	376.84	376.61	376.615	0.0
tsla	1777397815492	376.24	376.31	376.08	376.17	0.0
tsla	1777398415992	375.91	375.91	375.91	375.91	0.0
